sellerServiceStatus,logNo,title,categoryNo,parentCategoryNo,sourceCode,commentCount,readCount,addDate,openType,searchYn,greenReviewBannerYn,memologMovingYn,isPostSelectable,isPostNotOpen,isPostBlocked,isBlockTmpForced,postProductStatus
,223264541729,%EC%95%BC%EB%A7%A4+%EC%95%8C%EB%A6%AC%EC%98%A4%EC%98%AC%EB%A6%AC%EC%98%A4+%ED%8C%8C%EC%8A%A4%ED%83%80%28%EC%9C%A0%EC%82%B0%EC%8A%AC%3F%29%EC%99%80+%EB%B9%84%EA%B1%B4+%EA%BF%94%EB%B0%94%EB%A1%9C%EC%9A%B0+%EB%83%A0,24,7,0,12.0,,2023. 11. 14.,2,True,False,0,0,0,0,0,
,223264421413,%EB%8C%80%EC%B6%A9+%EC%B0%8D%EC%96%B4%EB%8F%84+%EC%9E%98+%EB%82%98%EC%99%80%21+%EC%84%B1%EC%88%98+%EC%97%94%ED%8B%B1+%EA%B0%90%EC%84%B1+%EC%97%B0%EB%AC%B4%EC%9E%A5%EA%B8%B8+%EC%B9%B4%ED%8E%98+%5B%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4+SPRAY%5D,6,7,0,38.0,,2023. 11. 14.,2,True,False,0,0,0,0,0,
,223262763741,%EC%84%9C%EC%9A%B8%EC%88%B2+%EA%B7%BC%EC%B2%98+%EB%86%80%EA%B1%B0%EB%A6%AC+%7C+%EA%B3%B5%EB%B6%80%ED%95%98%EA%B8%B0+%EC%A2%8B%EC%9D%80+%EC%B9%B4%ED%8E%98+%EC%84%B1%EC%88%98%EC%A7%80%EC%95%B5+%EC%98%A4%EC%96%B4%EB%84%A5%EC%8A%A4%ED%8A%B8+%EB%8B%A4%EB%85%80%EC%99%94%EC%96%B4%EC%9A%94,23,23,0,13.0,,2023. 11. 12.,2,True,False,0,0,0,0,0,
,223261455409,%5B%EC%9D%BC%EB%B3%B8+%EA%B0%84%EC%82%AC%EC%9D%B4+1%5D+%EC%98%A4%EC%82%AC%EC%B9%B4+%EB%8F%84%EC%BF%84+%EB%82%98%EB%9D%BC+%EC%9E%90%EC%9C%A0%EC%97%AC%ED%96%89+%ED%95%A0+%EB%95%8C+%EC%A3%BC%EC%9C%A0%ED%8C%A8%EC%8A%A4%EB%A1%9C+%EA%B0%80%EB%B3%BC%EB%A7%8C%ED%95%9C+%EA%B3%B3,8,7,0,61.0,,2023. 11. 10.,2,True,False,0,0,0,0,0,
,223261061242,%EB%8F%84%EC%A0%84.%ED%95%9C%EA%B5%AD+2023+%EB%8C%80%EA%B5%AD%EB%AF%BC+%EC%95%84%EC%9D%B4%EB%94%94%EC%96%B4+%EA%B3%B5%EB%AA%A8%EC%A0%84+%EC%88%98%EC%83%81%21%21,18,15,0,16.0,,2023. 11. 10.,2,True,False,0,0,0,0,0,
,223260663929,%EC%B4%88%EB%B0%A5+%EC%83%A4%EB%A6%AC+%EB%A7%9B%EC%9D%80+%EC%98%AC%EB%B0%94%EB%A5%B4%EC%A7%80+%EC%95%8A%EC%9D%80%EB%94%94%2C%2C%2C+%EB%85%B8%EB%A7%9B%EC%A7%91+%EC%98%AC%EB%B0%94%EB%A5%B8+%EC%8A%A4%EC%8B%9C+%ED%99%8D%EB%8C%80+%EC%A7%81%EC%98%81%EC%A0%90,6,7,0,26.0,,2023. 11. 10.,2,True,False,0,0,0,0,0,
,223259712444,%EC%8B%9C%EA%B0%84+%EA%B0%80%EB%8A%94+%EC%A4%84+%EB%AA%A8%EB%A5%B4%EB%8A%94+2%EC%9D%B8%EC%9A%A9+%EC%BB%A4%ED%94%8C+%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84+%EC%B6%94%EC%B2%9C%21+%EB%8D%94%ED%99%80%EB%A6%AD%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%B9%B4%ED%8E%98+%ED%99%8D%EB%8C%80%EC%A0%90,23,23,0,22.0,,2023. 11. 9.,2,True,False,0,0,0,0,0,
,223259654998,%EA%B3%A0%EB%8C%80%EA%B5%AC%EB%A1%9C%EB%B3%91%EC%9B%90+%EC%95%9E+%EC%B9%B4%ED%8E%98+%EB%B2%88%EC%B8%A0%EC%BB%A4%ED%94%BC+%EB%98%90+%EC%99%94%EC%A7%80%21,6,7,0,12.0,,2023. 11. 9.,2,True,False,0,0,0,0,0,
,223256581082,%5B%ED%97%AC%EC%8A%A4%EC%9E%A5+%EC%9D%BC%EA%B8%B0%5D+%EC%BC%80%ED%8B%80%EB%B2%A8+%EC%8A%A4%EC%9C%99+100%EA%B0%9C+%ED%95%98%EA%B3%A0+%ED%8C%8C%EC%9B%8C%EC%97%90%EC%9D%B4%EB%93%9C+%EC%A0%9C%EB%A1%9C+%EB%A8%B9%EC%9D%8C,19,15,0,33.0,,2023. 11. 5.,2,True,False,0,0,0,0,0,
,223255633041,%ED%98%BC%EC%9E%90%EC%A7%80%EB%A7%8C+%EA%B4%9C%EC%B0%AE%EC%95%84%21+%ED%98%BC%EC%9E%90+%EA%B0%80%EB%8F%84+%EA%B4%9C%EC%B0%AE%EC%9D%80+%EC%B6%95%EC%A0%9C+2023+%ED%83%90%EB%B0%A9%EA%B8%B0,22,7,0,31.0,,2023. 11. 4.,2,True,False,0,0,0,0,0,
,223254592885,%EA%B1%B4%EA%B0%95%ED%95%9C+%EC%84%A0%EB%A6%89%EC%97%AD+%EB%8C%80%EC%B9%98%EB%8F%99+%EB%B8%8C%EB%9F%B0%EC%B9%98+%EB%A7%9B%EC%A7%91+%7C+%EB%A7%A4%ED%81%AC%EB%A1%9C%ED%82%A4%EC%B9%9C,23,23,0,38.0,,2023. 11. 3.,2,True,False,0,0,0,0,0,
